English,Hindi
Retinoscope,रेटिनादर्शी
Retrace interval,प्रतिधाव अंतराल
Retracing time,प्रतिधाव अंतराल
Retractable launcher,स्थिति परिवर्तक मोचित्र
Retro-rockets,पश्चगतिक राकेट
Retrofire,पश्च ज्वालन
Retrofit,अनुरूपान्तर
Return,"प्रतिध्वनि, प्रतिगमन, प्रतिधाव"
Return circuit,प्रतिगमन परिपथ
Return code,प्रतिगमन कोड
Return interval,प्रतिगमन अंतराल
Return lead,प्रत्यानयन तार
Return line,वापसी लाइन
Return loss,परावर्तनिक हानि
Return pin,वापसी पिन
Return wire,प्रत्यानयन तार
Reuss model,रॉयस मॉडल
Reverberant sound,अनुरणन-ध्वनि
Reverberation,अनुरणन
Reverberation chamber,अनुरणन कोष्ठ
Reverberation room,अनुरणन कमरा
Reverberation time,अनुरणन-काल
Reversal,उत्क्रमण
Reversal development,विपर्यास विकास
Reversal of current,धारा का उत्क्रमण
Reversal of limits,सीमाओं का उत्क्रमण
Reversal of phase,कला का उत्क्रमण
Reversal symmetry,उत्क्रमण सममिति
Reverse,"उत्क्रम प्रतिलोम, प्रतीप, रिवर्स"
Reverse battery metering,बैटरी ध्रुवोत्क्रमण सूचन
Reverse bias,पश्चदिशिक बायस
Reverse Brayton cycle,उत्क्रम ब्रेटॉन चक्र
Reverse current,प्रतीप धारा
Reverse d c resistance,प्रतीप डी सी प्रतिरोध
Reverse direction,प्रतीप दिशा
Reverse feedback (=negative feed back),उत्क्रम पुनर्भरण
Reverse order,"उल्टा क्रम, प्रतिलोम क्रम"
Reverse recovery time,प्रतीप पुनः प्राप्ति समय
Reverse saturation current,प्रतीप संतृप्ति धारा
Reverse telescope,व्युत्क्रम दूरबीन
Reverse voltage,विरोधी वोल्टता
Reversed,"उत्क्रमित, प्रतिलोमित"
Reversed image,व्युत्क्रम प्रतिबिम्ब
Reversed magnetization,उत्क्रमित चुंबकन
Reversed tuning fork arrangement,उत्क्रमित स्वरित्र द्विभुज व्यवस्था
Reversibility,उत्क्रमणीयता
Reversibility principle,उत्क्रमणीयता नियम
Reversible,उत्क्रमणीय
Reversible adiabatic process,उत्क्रमणीय रूद्धोष्म प्रक्रम
Reversible back emf,"उत्क्रम्य पश्च वि.वा. ब., उत्क्रम्य पश्च ई. एम. एफ."
Reversible cell,"उत्क्रमणीय सेल, उत्क्रम्य सेल"
Reversible change,उत्क्रमणीय परिवर्तन
Reversible cycle,उत्क्रमणीय चक्र
Reversible electrode,उत्क्रम्य इलेक्ट्रोड
Reversible engine,"उत्क्रम्य इंजन, उत्क्रमणीय इंजन, उत्क्रम्य यंत्र"
Reversible interchange,उत्क्रम्य विनिमय
Reversible magnetization,उत्क्रमणीय चुंबकन
Reversible magnetostriction,उत्क्रमणीय चुंबकत्वी विरूपण
Reversible operation,"उत्क्रमणीय संक्रिया, उत्क्रम्य संक्रिया"
